,Station,Easting,Northing,Elevation,Alignment_Station_int
549,205+668,2612564.4823,1268788.1903,239.144,205668.0
551,205+671,2612565.9724,1268785.5865,238.994,205671.0
553,205+674,2612567.4625,1268782.9828,238.844,205674.0
555,205+677,2612568.9526,1268780.379,238.693,205677.0
557,205+680,2612570.4427,1268777.7752,238.543,205680.0
559,205+683,2612571.9328,1268775.1715,238.393,205683.0
561,205+686,2612573.4229,1268772.5677,238.243,205686.0
563,205+689,2612574.913,1268769.9639,238.093,205689.0
565,205+692,2612576.4031,1268767.3601,237.943,205692.0
567,205+695,2612577.8932,1268764.7564,237.793,205695.0
569,205+698,2612579.3833,1268762.1526,237.643,205698.0
571,205+701,2612580.8734,1268759.5488,237.493,205701.0
573,205+704,2612582.3635,1268756.9451,237.343,205704.0
575,205+707,2612583.8536,1268754.3413,237.193,205707.0
577,205+710,2612585.3437,1268751.7375,237.043,205710.0
579,205+713,2612586.8338,1268749.1338,236.892,205713.0
581,205+716,2612588.3239,1268746.53,236.742,205716.0
583,205+719,2612589.814,1268743.9262,236.592,205719.0
585,205+722,2612591.3041,1268741.3225,236.442,205722.0
587,205+725,2612592.7942,1268738.7187,236.292,205725.0
589,205+728,2612594.2843,1268736.1149,236.142,205728.0
591,205+731,2612595.7744,1268733.5112,235.992,205731.0
593,205+734,2612597.2645,1268730.9074,235.842,205734.0
595,205+737,2612598.7546,1268728.3036,235.692,205737.0
597,205+740,2612600.2447,1268725.6999,235.542,205740.0
599,205+743,2612601.7348,1268723.0961,235.392,205743.0
601,205+746,2612603.2249,1268720.4923,235.242,205746.0
603,205+749,2612604.715,1268717.8886,235.091,205749.0
605,205+752,2612606.2051,1268715.2848,234.941,205752.0
607,205+755,2612607.6952,1268712.681,234.791,205755.0
609,205+758,2612609.1852,1268710.0773,234.641,205758.0
611,205+761,2612610.6753,1268707.4735,234.491,205761.0
613,205+764,2612612.1654,1268704.8697,234.341,205764.0
615,205+767,2612613.6555,1268702.266,234.191,205767.0
617,205+770,2612615.1456,1268699.6622,234.041,205770.0
619,205+773,2612616.6357,1268697.0584,233.891,205773.0
621,205+776,2612618.1258,1268694.4546,233.741,205776.0
623,205+779,2612619.6159,1268691.8509,233.591,205779.0
625,205+782,2612621.106,1268689.2471,233.441,205782.0
627,205+785,2612622.5961,1268686.6433,233.29,205785.0
629,205+788,2612624.0862,1268684.0396,233.14,205788.0
631,205+791,2612625.5763,1268681.4358,232.99,205791.0
633,205+794,2612627.0664,1268678.832,232.84,205794.0
635,205+797,2612628.5565,1268676.2283,232.69,205797.0
637,205+800,2612630.0466,1268673.6245,232.54,205800.0
639,205+803,2612631.5367,1268671.0207,232.39,205803.0
641,205+806,2612633.0268,1268668.417,232.24,205806.0
643,205+809,2612634.5169,1268665.8132,232.09,205809.0
645,205+812,2612636.007,1268663.2094,231.94,205812.0
647,205+815,2612637.4971,1268660.6057,231.79,205815.0
649,205+818,2612638.9872,1268658.0019,231.64,205818.0
651,205+821,2612640.4773,1268655.3981,231.489,205821.0
653,205+824,2612641.9674,1268652.7944,231.339,205824.0
655,205+827,2612643.4575,1268650.1906,231.189,205827.0
657,205+830,2612644.9476,1268647.5868,231.039,205830.0
659,205+833,2612646.4377,1268644.9831,230.889,205833.0
661,205+836,2612647.9278,1268642.3793,230.739,205836.0
663,205+839,2612649.4179,1268639.7755,230.589,205839.0
665,205+842,2612650.908,1268637.1718,230.439,205842.0
667,205+845,2612652.3981,1268634.568,230.289,205845.0
669,205+848,2612653.8882,1268631.9642,230.139,205848.0
671,205+851,2612655.3783,1268629.3604,229.989,205851.0
673,205+854,2612656.8684,1268626.7567,229.839,205854.0
675,205+857,2612658.3585,1268624.1529,229.688,205857.0
677,205+860,2612659.8486,1268621.5491,229.538,205860.0
679,205+863,2612661.3387,1268618.9454,229.388,205863.0
681,205+866,2612662.8288,1268616.3416,229.238,205866.0
683,205+869,2612664.3189,1268613.7378,229.088,205869.0
685,205+872,2612665.809,1268611.1341,228.938,205872.0
687,205+875,2612667.2991,1268608.5303,228.788,205875.0
689,205+878,2612668.7892,1268605.9265,228.638,205878.0
691,205+881,2612670.2793,1268603.3228,228.488,205881.0
693,205+884,2612671.7694,1268600.719,228.338,205884.0
695,205+887,2612673.2595,1268598.1152,228.188,205887.0
697,205+890,2612674.7496,1268595.5115,228.037,205890.0
699,205+893,2612676.2397,1268592.9077,227.887,205893.0
701,205+896,2612677.7298,1268590.3039,227.737,205896.0
703,205+899,2612679.2199,1268587.7002,227.587,205899.0
705,205+899.115,2612679.277,1268587.6003,227.581,205899.115
707,205+902,2612680.71,1268585.0964,227.438,205902.0
709,205+905,2612682.2001,1268582.4926,227.289,205905.0
711,205+908,2612683.6902,1268579.8889,227.141,205908.0
713,205+911,2612685.1803,1268577.2851,226.994,205911.0
715,205+914,2612686.6704,1268574.6813,226.848,205914.0
717,205+917,2612688.1605,1268572.0776,226.703,205917.0
719,205+920,2612689.6506,1268569.4738,226.559,205920.0
721,205+923,2612691.1407,1268566.87,226.415,205923.0
723,205+926,2612692.6307,1268564.2663,226.273,205926.0
725,205+929,2612694.1208,1268561.6625,226.131,205929.0
727,205+932,2612695.6109,1268559.0587,225.991,205932.0
729,205+935,2612697.101,1268556.4549,225.851,205935.0
731,205+938,2612698.5911,1268553.8512,225.712,205938.0
733,205+941,2612700.0812,1268551.2474,225.574,205941.0
