"Point","Type","Station","Northing","Easting","Elevation"
"104+859","","104+859","1268861.1905","2611704.6999","221.595"
"","","","","",""
"104+862","","104+862","1268861.1744","2611707.6999","221.469"
"","","","","",""
"104+865","","104+865","1268861.1582","2611710.6998","221.344"
"","","","","",""
"104+868","","104+868","1268861.1421","2611713.6998","221.221"
"","","","","",""
"104+871","","104+871","1268861.1259","2611716.6997","221.099"
"","","","","",""
"104+874","","104+874","1268861.1098","2611719.6997","220.978"
"","","","","",""
"104+877","","104+877","1268861.0936","2611722.6997","220.860"
"","","","","",""
"104+880","","104+880","1268861.0775","2611725.6996","220.742"
"","","","","",""
"104+883","","104+883","1268861.0613","2611728.6996","220.626"
"","","","","",""
"104+886","","104+886","1268861.0452","2611731.6995","220.512"
"","","","","",""
"104+889","","104+889","1268861.0290","2611734.6995","220.399"
"","","","","",""
"104+892","","104+892","1268861.0128","2611737.6994","220.288"
"","","","","",""
"104+895","","104+895","1268860.9967","2611740.6994","220.178"
"","","","","",""
"104+898","","104+898","1268860.9805","2611743.6993","220.070"
"","","","","",""
"104+901","","104+901","1268860.9644","2611746.6993","219.963"
"","","","","",""
"104+904","","104+904","1268860.9482","2611749.6993","219.858"
"","","","","",""
"104+907","","104+907","1268860.9321","2611752.6992","219.754"
"","","","","",""
"104+910","","104+910","1268860.9159","2611755.6992","219.652"
"","","","","",""
"104+913","","104+913","1268860.8998","2611758.6991","219.551"
"","","","","",""
"104+916","","104+916","1268860.8836","2611761.6991","219.452"
"","","","","",""
"104+919","","104+919","1268860.8674","2611764.6990","219.354"
"","","","","",""
"104+922","","104+922","1268860.8513","2611767.6990","219.258"
"","","","","",""
"104+925","","104+925","1268860.8351","2611770.6990","219.163"
"","","","","",""
"104+928","","104+928","1268860.8190","2611773.6989","219.070"
"","","","","",""
"104+931","","104+931","1268860.8028","2611776.6989","218.978"
"","","","","",""
"104+934","","104+934","1268860.7867","2611779.6988","218.888"
"","","","","",""
"104+937","","104+937","1268860.7705","2611782.6988","218.799"
"","","","","",""
"104+940","","104+940","1268860.7544","2611785.6987","218.712"
"","","","","",""
"104+943","","104+943","1268860.7382","2611788.6987","218.626"
"","","","","",""
"104+946","","104+946","1268860.7221","2611791.6987","218.542"
"","","","","",""
"104+949","","104+949","1268860.7059","2611794.6986","218.459"
"","","","","",""
"104+952","","104+952","1268860.6897","2611797.6986","218.378"
"","","","","",""
"104+955","","104+955","1268860.6736","2611800.6985","218.298"
"","","","","",""
"104+958","","104+958","1268860.6574","2611803.6985","218.220"
"","","","","",""
"104+961","","104+961","1268860.6413","2611806.6984","218.143"
"","","","","",""
"104+964","","104+964","1268860.6251","2611809.6984","218.068"
"","","","","",""
"104+967","","104+967","1268860.6090","2611812.6983","217.994"
"","","","","",""
"104+970","","104+970","1268860.5928","2611815.6983","217.922"
"","","","","",""
"104+973","","104+973","1268860.5767","2611818.6983","217.851"
"","","","","",""
"104+976","","104+976","1268860.5605","2611821.6982","217.782"
"","","","","",""
