,Easting,Northing,Elevation,DTM,Rocksurface,delta_rocksurface_tunnelaxis,BoreClass
189,2612436.3339,1269012.1143,252.051,262.6749,236.865120043,-15.1858799568,BC1
190,2612437.824,1269009.5106,251.901,262.6347,236.865120043,-15.0358799568,BC1
191,2612439.3141,1269006.9068,251.751,262.6347,236.865120043,-14.8858799568,BC1
192,2612440.8041,1269004.303,251.601,262.6527,236.792911541,-14.8080884593,BC1
193,2612442.2942,1269001.6993,251.451,262.6527,236.792911541,-14.6580884593,BC1
194,2612443.7843,1268999.0955,251.3,262.5565,236.792911541,-14.5070884593,BC1
195,2612445.2744,1268996.4917,251.15,262.6941,236.792911541,-14.3570884593,BC1
196,2612446.7645,1268993.888,251.0,262.5862,236.85354423,-14.1464557704,BC1
197,2612448.2546,1268991.2842,250.85,262.5862,236.85354423,-13.9964557704,BC1
198,2612449.7447,1268988.6804,250.7,262.5786,236.85354423,-13.8464557704,BC1
199,2612451.2348,1268986.0767,250.55,262.5993,236.82841455,-13.7215854496,BC1
200,2612452.7249,1268983.4729,250.4,262.5519,236.82841455,-13.5715854496,BC1
201,2612454.215,1268980.8691,250.25,262.5519,236.82841455,-13.4215854496,BC1
202,2612455.7051,1268978.2653,250.1,262.6379,236.82841455,-13.2715854496,BC1
203,2612457.1952,1268975.6616,249.95,262.6379,236.82841455,-13.1215854496,BC1
204,2612458.6853,1268973.0578,249.8,262.6548,236.82841455,-12.9715854496,BC1
205,2612461.6655,1268967.8503,249.499,262.8065,236.82841455,-12.6705854496,BC1
206,2612463.1556,1268965.2465,249.349,262.8065,236.792874896,-12.5561251036,BC1
207,2612464.6457,1268962.6427,249.199,262.8657,236.792874896,-12.4061251036,BC1
208,2612466.1358,1268960.039,249.049,262.9531,236.792874896,-12.2561251036,BC1
209,2612467.6259,1268957.4352,248.899,262.9869,237.0,-11.899,BC1
210,2612469.116,1268954.8314,248.749,262.8869,237.0,-11.749,BC1
211,2612470.6061,1268952.2277,248.599,262.7819,237.0,-11.599,BC1
212,2612472.0962,1268949.6239,248.449,262.8746,237.0,-11.449,BC1
213,2612473.5863,1268947.0201,248.299,262.8746,237.0,-11.299,BC1
214,2612475.0764,1268944.4164,248.149,262.9595,237.0,-11.149,BC1
215,2612476.5665,1268941.8126,247.999,262.9595,237.0,-10.999,BC1
216,2612478.0566,1268939.2088,247.849,262.7365,237.0,-10.849,BC1
217,2612479.5467,1268936.6051,247.698,262.7365,237.0,-10.698,BC1
218,2612481.0368,1268934.0013,247.548,262.8015,237.0,-10.548,BC1
219,2612482.5269,1268931.3975,247.398,262.8015,237.0,-10.398,BC1
220,2612484.017,1268928.7938,247.248,262.8928,237.0,-10.248,BC1
221,2612485.5071,1268926.19,247.098,262.7388,237.0,-10.098,BC1
222,2612486.9972,1268923.5862,246.948,262.7975,236.77344812,-10.1745518804,BC1
223,2612488.4873,1268920.9825,246.798,262.7975,237.0,-9.798,BC1
224,2612489.9774,1268918.3787,246.648,262.8974,237.0,-9.648,BC1
225,2612491.4675,1268915.7749,246.498,262.8025,237.0,-9.498,BC1
226,2612492.9576,1268913.1711,246.348,262.824,237.0,-9.348,BC1
227,2612494.4477,1268910.5674,246.198,262.824,237.0,-9.198,BC1
228,2612495.9378,1268907.9636,246.048,262.8629,237.0,-9.048,BC1
229,2612497.4279,1268905.3598,245.897,262.8629,237.0,-8.897,BC1
230,2612498.918,1268902.7561,245.747,263.1008,237.0,-8.747,BC1
231,2612500.4081,1268900.1523,245.597,262.7113,237.0,-8.597,BC1
232,2612501.8982,1268897.5485,245.447,262.7465,237.0,-8.447,BC1
233,2612503.3883,1268894.9448,245.297,263.2593,237.0,-8.297,BC1
234,2612504.8784,1268892.341,245.147,263.2593,237.0,-8.147,BC1
235,2612506.3685,1268889.7372,244.997,262.7076,237.0,-7.997,BC1
236,2612507.8586,1268887.1335,244.847,262.7076,237.0,-7.847,BC1
237,2612509.3487,1268884.5297,244.697,262.647,237.2,-7.497,BC1
238,2612510.8388,1268881.9259,244.547,262.6999,237.2,-7.347,BC1
239,2612512.3289,1268879.3222,244.397,262.7411,237.2,-7.197,BC1
240,2612513.819,1268876.7184,244.247,262.7411,237.2,-7.047,BC1
241,2612515.3091,1268874.1146,244.096,262.7215,237.2,-6.896,BC1
242,2612516.7992,1268871.5109,243.946,262.7215,237.2,-6.746,BC1
243,2612518.2893,1268868.9071,243.796,262.6904,237.2,-6.596,BC1
244,2612519.7794,1268866.3033,243.646,262.6904,237.2,-6.446,BC1
245,2612521.2695,1268863.6996,243.496,262.7617,237.2,-6.296,BC1
246,2612522.7596,1268861.0958,243.346,262.7617,237.2,-6.146,BC1
247,2612524.2496,1268858.492,243.196,262.6682,237.2,-5.996,BC1
248,2612525.7397,1268855.8883,243.046,262.718,237.2,-5.846,BC1
249,2612527.2298,1268853.2845,242.896,262.7326,237.2,-5.696,BC1
250,2612528.7199,1268850.6807,242.746,262.7326,237.2,-5.546,BC1
251,2612530.21,1268848.077,242.596,262.6776,237.4,-5.196,BC1
252,2612531.7001,1268845.4732,242.446,262.6776,237.4,-5.046,BC1
253,2612533.1902,1268842.8694,242.295,262.6697,237.4,-4.895,BC1
254,2612534.6803,1268840.2656,242.145,262.6697,237.4,-4.745,BC1
255,2612536.1704,1268837.6619,241.995,262.6843,237.4,-4.595,BC1
256,2612537.6605,1268835.0581,241.845,262.6843,237.4,-4.445,BC1
257,2612539.1506,1268832.4543,241.695,262.7016,237.4,-4.295,BC1
258,2612540.6407,1268829.8506,241.545,262.6887,237.4,-4.145,BC1
259,2612542.1308,1268827.2468,241.395,262.6887,237.4,-3.995,BC1
260,2612543.6209,1268824.643,241.245,262.6736,237.4,-3.845,BC1
261,2612545.111,1268822.0393,241.095,262.7103,237.4,-3.695,BC1
262,2612546.6011,1268819.4355,240.945,262.7427,237.445881049,-3.49911895087,BC1
263,2612548.0912,1268816.8317,240.795,262.7427,237.445881049,-3.34911895087,BC1
264,2612549.5813,1268814.228,240.645,262.696,237.445881049,-3.19911895087,BC2
265,2612551.0714,1268811.6242,240.494,262.6942,237.630587366,-2.86341263391,BC2
266,2612552.5615,1268809.0204,240.344,262.7177,237.630587366,-2.71341263391,BC2
267,2612554.0516,1268806.4167,240.194,262.7177,237.630587366,-2.56341263391,BC2
268,2612555.5417,1268803.8129,240.044,262.6722,237.630587366,-2.41341263391,BC2
269,2612557.0318,1268801.2091,239.894,262.6722,237.630587366,-2.26341263391,BC2
270,2612558.5219,1268798.6054,239.744,262.8003,237.656829101,-2.08717089911,BC2
271,2612560.012,1268796.0016,239.594,262.6787,237.656829101,-1.93717089911,BC2
272,2612561.5021,1268793.3978,239.444,262.8346,237.656829101,-1.78717089911,BC2
273,2612562.9922,1268790.7941,239.294,262.8346,237.656829101,-1.63717089911,BC2
274,2612564.4823,1268788.1903,239.144,262.7385,237.656829101,-1.48717089911,BC2
275,2612565.9724,1268785.5865,238.994,262.7423,237.656829101,-1.33717089911,BC2
276,2612567.4625,1268782.9828,238.844,262.7391,237.656829101,-1.18717089911,BC2
277,2612568.9526,1268780.379,238.693,262.7391,237.656829101,-1.03617089911,BC2
278,2612570.4427,1268777.7752,238.543,262.7998,237.787560096,-0.755439903846,BC2
279,2612571.9328,1268775.1715,238.393,262.7998,237.787560096,-0.605439903846,BC2
280,2612573.4229,1268772.5677,238.243,262.7726,237.787560096,-0.455439903846,BC2
281,2612574.913,1268769.9639,238.093,262.7447,237.787560096,-0.305439903846,BC2
282,2612576.4031,1268767.3601,237.943,262.7864,237.787560096,-0.155439903846,BC2
283,2612577.8932,1268764.7564,237.793,262.7409,237.787560096,-0.00543990384602,BC2
284,2612579.3833,1268762.1526,237.643,262.7409,237.787560096,0.144560096154,BC2
285,2612580.8734,1268759.5488,237.493,262.7576,237.787560096,0.294560096154,BC2
286,2612582.3635,1268756.9451,237.343,262.7576,237.73876698,0.395766980146,BC2
287,2612583.8536,1268754.3413,237.193,262.7678,237.73876698,0.545766980146,BC2
288,2612585.3437,1268751.7375,237.043,262.8464,237.73876698,0.695766980146,BC2
