,Station,Easting,Northing,Elevation,easting,northing,DTM
438,206+148.763,2612803.277,1268370.9252,218.216,2612803.277,1268370.9252,263.8342
439,206+151,2612804.3881,1268368.9837,218.16,2612804.3881,1268368.9837,262.8915
440,206+154,2612805.8782,1268366.3799,218.085,2612805.8782,1268366.3799,263.8058
441,206+157,2612807.3683,1268363.7761,218.01,2612807.3683,1268363.7761,263.815
442,206+160,2612808.8584,1268361.1724,217.935,2612808.8584,1268361.1724,263.815
443,206+163,2612810.3485,1268358.5686,217.86,2612810.3485,1268358.5686,263.7896
444,206+166,2612811.8386,1268355.9648,217.785,2612811.8386,1268355.9648,263.7896
445,206+169,2612813.3287,1268353.3611,217.71,2612813.3287,1268353.3611,263.7949
446,206+172,2612814.8188,1268350.7573,217.635,2612814.8188,1268350.7573,263.7949
447,206+175,2612816.3089,1268348.1535,217.56,2612816.3089,1268348.1535,263.7769
448,206+178,2612817.799,1268345.5497,217.485,2612817.799,1268345.5497,263.7769
449,206+181,2612819.2891,1268342.946,217.41,2612819.2891,1268342.946,263.7775
450,206+184,2612820.7792,1268340.3422,217.335,2612820.7792,1268340.3422,263.7678
451,206+187,2612822.2693,1268337.7384,217.26,2612822.2693,1268337.7384,263.7746
452,206+190,2612823.7594,1268335.1347,217.185,2612823.7594,1268335.1347,263.7746
453,206+193,2612825.2495,1268332.5309,217.11,2612825.2495,1268332.5309,263.7735
454,206+196,2612826.7396,1268329.9271,217.035,2612826.7396,1268329.9271,263.6704
455,206+199,2612828.2297,1268327.3234,216.96,2612828.2297,1268327.3234,263.6704
456,206+202,2612829.7198,1268324.7196,216.885,2612829.7198,1268324.7196,262.916
457,206+205,2612831.2099,1268322.1158,216.81,2612831.2099,1268322.1158,262.7514
458,206+208,2612832.7,1268319.5121,216.735,2612832.7,1268319.5121,262.8978
459,206+211,2612834.1901,1268316.9083,216.66,2612834.1901,1268316.9083,262.8978
460,206+214,2612835.6802,1268314.3045,216.585,2612835.6802,1268314.3045,262.822
461,206+217,2612837.1703,1268311.7008,216.51,2612837.1703,1268311.7008,262.822
462,206+220,2612838.6604,1268309.097,216.435,2612838.6604,1268309.097,262.9739
463,206+223,2612840.1505,1268306.4932,216.36,2612840.1505,1268306.4932,262.8005
