,Station,Easting,Northing,Elevation,DTM,RockSurface,StationReal,RockCover,WBScode,WorkType,ExcavationType,ProfileType,SectionArea,Description,Unit,BoreClass,SupportClass,DisposalClass,StationInterval,ExcavationVolume,DisposalVolume
107,104+379,2611226.384,1268881.566,250.994,252.784,238.125,104379.0,-12.869,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.003836380338696,NaN,NaN
108,104+382,2611229.304,1268880.873,250.866,252.784,238.125,104382.0,-12.741000000000014,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.001932377538165,NaN,NaN
109,104+385,2611232.221,1268880.176,250.736,253.086,238.125,104385.0,-12.61099999999999,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0033746019077263,NaN,NaN
110,104+388,2611235.138,1268879.473,250.605,257.835,238.125,104388.0,-12.47999999999999,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0032395843790227,NaN,NaN
111,104+391,2611238.054,1268878.767,250.471,257.835,238.125,104391.0,-12.346000000000004,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0022859622642417,NaN,NaN
112,104+394,2611240.968,1268878.057,250.336,257.632,238.111,104394.0,-12.225000000000023,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.003820567260869,NaN,NaN
113,104+397,2611243.883,1268877.345,250.199,257.632,238.111,104397.0,-12.088000000000022,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.002209020205644,NaN,NaN
114,104+400,2611246.796,1268876.632,250.06,257.425,238.111,104400.0,-11.949000000000012,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0037012167294024,NaN,NaN
115,104+403,2611249.71,1268875.917,249.92,257.425,238.111,104403.0,-11.808999999999997,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,0.31226591211942284,NaN,NaN
116,104+403.312,2611250.013,1268875.843,249.905,257.248,238.111,104403.312,-11.794000000000011,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.6916145714183006,NaN,NaN
117,104+406,2611252.679,1268875.495,249.778,257.248,238.111,104406.0,-11.667000000000002,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0036967224707616,NaN,NaN
118,104+409,2611255.654,1268875.107,249.633,257.04,238.111,104409.0,-11.52200000000002,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0027547351734314,NaN,NaN
119,104+412,2611258.628,1268874.719,249.487,250.361,238.111,104412.0,-11.376000000000005,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00366492815608,NaN,NaN
