,Station,Easting,Northing,Elevation,Alignment_Station_real
915,206+214,2612835.68,1268314.304,216.585,206214.0
917,206+217,2612837.17,1268311.701,216.51,206217.0
919,206+220,2612838.66,1268309.097,216.435,206220.0
921,206+223,2612840.15,1268306.493,216.36,206223.0
923,206+226,2612841.641,1268303.89,216.285,206226.0
925,206+229,2612843.131,1268301.286,216.21,206229.0
927,206+232,2612844.621,1268298.682,216.135,206232.0
929,206+235,2612846.111,1268296.078,216.06,206235.0
931,206+238,2612847.601,1268293.474,215.985,206238.0
933,206+241,2612849.091,1268290.871,215.91,206241.0
935,206+244,2612850.581,1268288.267,215.835,206244.0
937,206+247,2612852.071,1268285.663,215.76,206247.0
939,206+250,2612853.561,1268283.059,215.685,206250.0
941,206+253,2612855.052,1268280.456,215.61,206253.0
943,206+256,2612856.542,1268277.852,215.535,206256.0
945,206+259,2612858.032,1268275.248,215.46,206259.0
947,206+262,2612859.522,1268272.644,215.385,206262.0
949,206+265,2612861.012,1268270.04,215.31,206265.0
951,206+268,2612862.502,1268267.437,215.235,206268.0
953,206+271,2612863.992,1268264.833,215.16,206271.0
955,206+274,2612865.482,1268262.229,215.085,206274.0
957,206+277,2612866.972,1268259.625,215.01,206277.0
959,206+280,2612868.462,1268257.022,214.935,206280.0
961,206+283,2612869.952,1268254.418,214.86,206283.0
963,206+286,2612871.442,1268251.814,214.785,206286.0
965,206+289,2612872.933,1268249.21,214.71,206289.0
967,206+292,2612874.423,1268246.607,214.635,206292.0
969,206+295,2612875.913,1268244.003,214.56,206295.0
971,206+298,2612877.403,1268241.399,214.485,206298.0
973,206+301,2612878.893,1268238.795,214.41,206301.0
975,206+304,2612880.383,1268236.192,214.335,206304.0
977,206+306.711,2612881.73,1268233.839,214.268,206306.711
979,206+307,2612881.873,1268233.588,214.26,206307.0
981,206+310,2612883.363,1268230.984,214.185,206310.0
983,206+313,2612884.854,1268228.38,214.11,206313.0
985,206+316,2612886.344,1268225.777,214.035,206316.0
987,206+319,2612887.836,1268223.174,213.96,206319.0
989,206+322,2612889.328,1268220.571,213.885,206322.0
991,206+325,2612890.821,1268217.969,213.81,206325.0
993,206+328,2612892.315,1268215.368,213.735,206328.0
995,206+331,2612893.811,1268212.767,213.66,206331.0
997,206+334,2612895.308,1268210.168,213.585,206334.0
999,206+337,2612896.807,1268207.569,213.51,206337.0
1001,206+340,2612898.308,1268204.971,213.435,206340.0
1003,206+343,2612899.811,1268202.375,213.36,206343.0
1005,206+346,2612901.316,1268199.78,213.285,206346.0
1007,206+349,2612902.824,1268197.186,213.21,206349.0
1009,206+352,2612904.334,1268194.594,213.135,206352.0
1011,206+355,2612905.848,1268192.004,213.06,206355.0
1013,206+358,2612907.364,1268189.415,212.985,206358.0
1015,206+361,2612908.884,1268186.829,212.91,206361.0
1017,206+364,2612910.407,1268184.244,212.835,206364.0
1019,206+367,2612911.933,1268181.662,212.76,206367.0
1021,206+370,2612913.464,1268179.081,212.685,206370.0
1023,206+373,2612914.998,1268176.504,212.61,206373.0
